1563392245,5,MPU9250,-0.06,0.99,-0.11,86.06,71.25,-19.52,4.03,-0.61,1.22
1563392245,1,LSM9DS1,9.42,-1.60,-1.60,-4.59,4.59,4.59,-2.39,0.41,0.77
1563392245,2,LSM9DS1,-3.85,-7.29,-7.29,-0.20,0.54,0.19,-12.11,7.54,1.21
1563392245,3,MPU9250,-0.16,-0.10,-0.93,32.70,78.96,63.07,-2.26,1.59,-3.36
1563392256,4,MPU9250,0.06,-0.88,0.53,-35.74,63.14,-74.65,12.88,5.25,-0.43
1563392256,5,MPU9250,-0.05,0.99,-0.09,82.48,70.06,-17.23,4.03,-1.28,1.53
1563392256,1,LSM9DS1,9.48,-1.59,-1.59,-4.59,4.59,4.59,-2.54,0.36,0.69
1563392256,2,LSM9DS1,-4.94,-2.92,-2.92,-0.10,0.45,0.22,-3.04,1.15,0.52
1563392256,3,MPU9250,-0.85,-0.38,0.63,-8.48,-7.29,-4.67,16.48,93.08,55.42
1563392266,4,MPU9250,0.04,-0.96,0.42,-32.17,63.14,-66.61,1.71,0.12,1.40
1563392266,5,MPU9250,-0.05,0.99,-0.11,83.67,67.69,-18.38,3.60,-0.67,0.73
1563392266,1,LSM9DS1,9.45,-1.61,-1.61,-4.59,4.59,4.59,-2.47,0.25,0.90
1563392266,2,LSM9DS1,-2.37,-7.47,-7.47,-0.04,0.61,0.18,-3.68,1.42,-9.71
1563392266,3,MPU9250,-0.68,-0.44,0.73,7.27,21.87,-71.25,-50.78,98.39,-19.2
1563392276,4,MPU9250,0.04,-0.95,0.42,-34.55,60.76,-67.76,1.71,-0.31,1.77
1563392276,5,MPU9250,-0.05,0.99,-0.11,84.87,70.06,-17.23,4.03,-0.79,1.10
1563392276,1,LSM9DS1,9.43,-1.59,-1.59,-4.59,4.59,4.59,-2.37,0.24,1.06
1563392276,2,LSM9DS1,-3.47,-5.07,-5.07,-0.08,0.50,0.22,-1.79,1.31,0.74
1563392276,3,MPU9250,0.92,0.00,-0.21,39.96,120.27,35.04,-9.34,-14.34,-29.5
1563392286,4,MPU9250,-0.02,-0.93,0.48,-30.98,59.57,-68.91,-4.70,0.24,1.71
1563392286,5,MPU9250,-0.05,1.00,-0.11,87.26,67.69,-14.93,3.72,-0.79,0.67
1563392286,1,LSM9DS1,9.43,-1.57,-1.57,-4.59,4.59,4.59,-2.30,0.54,1.04
1563392286,2,LSM9DS1,-1.42,-9.01,-9.01,-0.02,0.70,0.12,-9.75,-1.69,-1.23
1563392286,3,MPU9250,0.86,-0.43,-0.02,-13.32,128.77,29.20,-24.96,24.60,1.8
1563392296,4,MPU9250,-0.02,-0.94,0.45,-30.98,57.19,-67.76,1.95,-0.24,1.71
1563392296,5,MPU9250,-0.05,0.99,-0.11,87.26,67.69,-18.38,4.15,-0.79,0.98
1563392296,1,LSM9DS1,9.43,-1.62,-1.62,-4.59,4.59,4.59,-2.69,0.31,0.54
1563392296,2,LSM9DS1,-1.22,-8.51,-8.51,0.01,0.68,0.14,3.42,0.60,-0.45
1563392296,3,MPU9250,0.69,0.35,-0.52,38.75,93.54,52.56,-39.18,-11.78,-12.7
1563392306,4,MPU9250,0.00,-0.87,0.26,-32.17,56.00,-68.91,-115.30,-64.33,-1
1563392306,5,MPU9250,1.15,1.22,0.56,84.87,65.31,-13.78,6.41,-135.93,58.78
